#Fuzhou dialect 平話字 https://transliterationisfun.blogspot.com/2016/09/chinese-character-to-eastern-min.html
5471 = "Sieng-ciu" #陕州
5472 = "Iong-u" #杨武
5473 = "Hu-ciu" #许州
5474 = "Ding-ciu" #陈州
5475 = "Siong-siang" #商城
5476 = "Nu-ciu" #汝州
5478 = "Ga-ciu" #解州
5479 = "Ngok-iong" #岳阳
5480 = "Sing-ciu" #沁州
5481 = "Lieu-ciu" #辽州
5482 = "Ing-ning" #永寧
5483 = "Hung-ciu" #忻州
5484 = "Oi-ciu" #蔚州
5487 = "Deng-siang" #澄城
5488 = "Siong-ciu" #商州
5489 = "Hang-iong" #咸阳
5490 = "Hong-siong" #凤翔
5491 = "Bang-liong" #平凉
5492 = "Ling-do" #临洮 (逃 used for gloss)
5493 = "Keng-iong" #庆阳
5494 = "Sa-ning" #西寧
5497 = "Guong-nang" #廣南
5498 = "Guong-sa" #廣西
5499 = "Hung-nang" #云南
5500 = "Chu-hung" #楚雄
5501 = "Nang-dieng" #南甸
5505 = "Gang-ciu" #简州
5506 = "Mieng-ciu" #绵州

#Vietnam

610 = "Ching-hua" #清化
613 = "Sing-ang" #新安
616 = "Tai-nguong" #太原
2325 = "Gui-hua" #归化
2393 = "Liong-sang" #谅山
2394 = "Ceng-ang" #靖安
2395 = "Gau-ciu" #交州
2396 = "Ngie-ang" #乂安
2418 = "Song-hua" #顺化
2419 = "Sing-bang" #新平
2731 = "Ning-huong" #寧远
3314 = "Song-hua" #宣化
3936 = "Hong-hua" #奉化
3937 = "Ga-hing" #嘉兴
3938 = "Liong-geng" #谅江
4211 = "Leng-ciu" #演州

#Korea

730 = "Geng-deng" #江东
732 = "Seng-siang" #双城
733 = "Hai-sa" #海西
734 = "Liang-sa" #岭西
735 = "Cui-nguong" #水原
736 = "Liang-nang" #岭南
737 = "Ciong-lo" #全罗
877 = "Dong-hing" #长兴
889 = "Ceng-chiong" #晋昌
1822 = "Bang-ang" #平安
2233 = "Gung-hung" #公洪
2276 = "Dang-lo" #耽罗
2328 = "Du-muòng" #图们
2461 = "Keng-ciu" #慶州
2800 = "Dong-bah" #长白
2801 = "Uong-ciu" # 黄州
2802 = "Sung-ngok" #松嶽
2803 = "Hu-sa" #湖西
2804 = "Hu-nang" #湖南
2805 = "Ang-deng" #安东
2806 = "Liang-deng" #岭东
3686 = "Guang-baek" #关北

#Japan

1012 = "Seng-do" #先島
1013 = "Chung-sing" #沖(繩)縄
1014 = "Ieng-mi" #奄美
1015 = "Sak-ciu" #薩州
1016 = "Nik-ciu" #日州
1017 = "Pi-haiu" #肥後
1018 = "Hung-haiu" #豊後
1019 = "Sek-seng" #十勝
1020 = "Pi-seng" #肥前
1021 = "Doi-ciu" #(对)対州
1022 = "Tu-ciu" #土州
1023 = "I-ciu" #伊州
1024 = "Cang-ciu" #(讚)讃州
1025 = "Baek-gieng" #北見
1026 = "Ngie-ciu" #(藝)芸州
1027 = "Dong-ciu" #長州
1028 = "Hung-ciu" #雲州
1029 = "Bai-dung" #備中
1030 = "Cauk-ciu" #作州
1031 = "Dang-ciu" #但州
1032 = "Bo-mu" #播磨
1033 = "Baek-dang" #北但
1034 = "Kang-chak-ga" #堪察加
2277 = "Siong-ciu" #相州
2278 = "Hung-seng" #豊前
2279 = "Niek-ciu" #(攝)摂州
2280 = "Gaeng-ciu" #和州
2281 = "Gi-i" #紀伊
2282 = "I-sie" #伊勢
2283 = "Siang-ciu" #城州
2284 = "Uok-seng" #越前
2285 = "Uok-dung" #越中
2286 = "Buoi-ciu" #飛州
2287 = "Muoi-ciu" #尾州
2288 = "Huong-ciu" #遠州
2289 = "Gak-ciu" #甲州
2290 = "Seng-ciu" #信州
2291 = "Uok-haiu" #越後
2292 = "Gia-ciu" #下州
2293 = "U-ciu" #武州
2294 = "Siong-luk" #常陸
2295 = "Ngang-ciu" #岩州
2296 = "Luk-dung" #陸中
2297 = "O-ciu" #奥州
2298 = "U-seng" #羽前
2299 = "Do-do" #渡島
2300 = "Sik-siu" #石狩 (守 used for gloss)
2302 = "Chieng-do" #千島
2435 = "Nung-ciu" #農州
2796 = "Geng-ciu" #江州
3943 = "Luks-eng" #陸前
3944 = "Buang-ciu" #磐州
3945 = "U-haiu" #羽後
3946 = "Siong-ia" #上野
3947 = "Cek-ciu" #佐州
3948 = "Gia-cung" #下(總)総
3949 = "Siong-cung" #上(總)総
3950 = "Ang-ciu" #安州
3951 = "Daiu-ciu" #豆州
3952 = "Neng-ciu" #能州
3953 = "Ga-ciu" #加州
3954 = "Na-ciu" #若州
3955 = "Cong-ciu" #駿州
3956 = "Sang-ciu" #三州
3957 = "Ce-ciu" #志州
3958 = "I-ho" #伊賀
3959 = "On-oi" #河内
3960 = "Gaeng-ciong" #和泉
3961 = "Dang-po" #丹波
3962 = "Ing-ciu" #因州
3963 = "Bah-ciu" #伯州
3964 = "Bai-seng" #備前
3965 = "Sik-ciu" #石州
3966 = "Bai-haiu" #備後
3967 = "Ciu-ciu" #周州
3968 = "O-ciu" #阿州
3969 = "Dang-ciu" #淡州
3970 = "Deuk-seng" #筑前
3971 = "Deuk-haiu" #筑後
3972 = "Ngu-ciu" #隅州
3973 = "Gek-ciu" #吉州
3974 = "Ceu-ciu" #諏州
