#Wenchang 文昌话 - 海南音字典:普通话对照
5499 = "Hhunnam" #雲南
5500 = "Sohhiong" #楚雄
5501 = "Namddin" #南甸
5505 = "Ganziu" #简州
5506 = "Minziu" #绵州

#Vietnam

610 = "Senghhua" #清化
613 = "Din'an" #新安
616 = "Haiyuan" #太原
2325 = "Guihhua" #归化
2393 = "Liangdan" #谅山
2394 = "Zeng'an" #靖安
2395 = "Giaoziu" #交州
2396 = "Ngi'an" #乂安
2418 = "Dunhhua" #顺化
2419 = "Dinbe" #新平
2731 = "Nengyuan" #寧远
3314 = "Duanhhua" #宣化
3936 = "Ponghhua" #奉化
3937 = "Giahheng" #嘉兴
3938 = "Lianggiang" #谅江
4211 = "Inziu" #演州

#Korea

730 = "Giangddong" #江東
732 = "Diangdia" #双城
733 = "Hhaidai" #海西
734 = "Lengdai" #岭西
735 = "Duiyuan" #水原
736 = "Lengnam" #岭南
737 = "Suanlo" #全罗
877 = "Sianghheng" #长兴
889 = "Zinsiang" #晋昌
1822 = "Be'an" #平安
2233 = "Gonghhong" #公洪
2276 = "Ddamlo" #耽罗
2328 = "Humun" #图们
2461 = "Hengziu" #慶州
2800 = "Siangbog" #长白
2801 = "Uangziu" # 黄州
2802 = "Dongyiog" #松嶽
2803 = "Hhudai" #湖西
2804 = "Hhunam" #湖南
2805 = "Anddong" #安東
2806 = "Lengdong" #岭東
3686 = "Guanbag" #关北

#Japan

1012 = "Dinddao" #先島
1013 = "Songseng" #沖(繩)縄
1014 = "Iammui" #奄美
1015 = "Sadziu" #薩州
1016 = "Yidziu" #日州
1017 = "Bui'ao" #肥後
1018 = "Pong'ao" #(豐)豊後
1019 = "Dabdeng" #十勝
1020 = "Buisin" #肥前
1021 = "Dduiziu" #(对)対州
1022 = "Houziu" #土州
1023 = "Iziu" #伊州
1024 = "Danziu" #(讚)讃州
1025 = "Baggin" #北見
1026 = "Ngiziu" #(藝)芸州
1027 = "Siangziu" #長州
1028 = "Hhunziu" #雲州
1029 = "Bidong" #備中
1030 = "Dagziu" #作州
1031 = "Ddan-ziu" #但州
1032 = "Bovo" #播磨
1033 = "Bagddan" #北但
1034 = "Hamsadge" #堪察加
2277 = "Dioziu" #相州
2278 = "Pongsin" #(豐)豊前
2279 = "Dibziu" #(攝)摂州
2280 = "Hhuaziu" #和州
2281 = "Gii" #紀伊
2282 = "Idi" #伊勢
2283 = "Diaziu" #城州
2284 = "Yuadsin" #越前
2285 = "Yuaddong" #越中
2286 = "Puiziu" #飛州
2287 = "Vueziu" #尾州
2288 = "Yuanziu" #遠州
2289 = "Gaziu" #甲州
2290 = "Dinziu" #信州
2291 = "Yuadao" #越後
2292 = "Eziu" #下州
2293 = "Vuziu" #武州
2294 = "Dianglog" #常陸
2295 = "Ngamziu" #岩州
2296 = "Logdong" #陸中
2297 = "Aoziu" #奥州
2298 = "Yisin" #羽前
2299 = "Ddudao" #渡島
2300 = "Ziodiu" #石狩
2302 = "Sin-dao" #千島
2435 = "Nong-ziu" #農州
2796 = "Giangziu" #江州
3943 = "Logsin" #陸前
3944 = "Panziu" #磐州
3945 = "Yi'ao" #羽後
3946 = "Zioye" #上野
3947 = "Doziu" #佐州
3948 = "Edong" #下(總)総
3949 = "Ziodong" #上(總)総
3950 = "Anziu" #安州
3951 = "Ddaoziu" #豆州
3952 = "Nengziu" #能州
3953 = "Geziu" #加州
3954 = "Yiagziu" #若州
3955 = "Dunziu" #駿州
3956 = "Samziu" #三州
3957 = "Ziziu" #志州
3958 = "Yihho" #伊賀
3959 = "Hholai" #河内
3960 = "Hhuasuan" #和泉
3961 = "Ddanbo" #丹波
3962 = "Inziu" #因州
3963 = "Bogziu" #伯州
3964 = "Bisin" #備前
3965 = "Zioziu" #石州
3966 = "Bi'ao" #備後
3967 = "Ziuziu" #周州
3968 = "Aziu" #阿州
3969 = "Ddamziu" #淡州
3970 = "Dogsin" #筑前
3971 = "Dog'ao" #筑後
3972 = "Yiziu" #隅州
3973 = "Gidziu" #吉州
3974 = "Douziu" #諏州
